code,baseYr,mticd,itcNatCd,natName,impAmt,expAmt,korImpAmt,korExpAmt,korImpMkshRate,impMkshRate,impGrowthRate,expMkshRate,expGrowthRate,impMkshRateChngVal,impGrowthRateChngVal,yr2GrowthRate,yr5GrowthRate,expEntpCnt,impCntryCnt,buyerCnt,byoffrCnt,dataRegDt,hscd,cmdltNm,cmdltParentNm,cmdltGrParentNm,quCd,rank,tradeBal,baseYm,tradeType,predRank,avgTarifRate,korExpsttAmt,korExpsttTotalAmt,popltnVal,gdpVal,isoWd2NatCd,kcskorImpAmt,predAmt,resnCnt
160100,,,826,영국,1705962449,43739622.0,,4845.0,,20.41520189065895,140.94998407477635,0.5079423133513616,126.4044651860011,,140.94998407477635,58.238273722849065,22.96983142147283,0.0,40,1.0,0.0,,,,,,,,-1662222827.0,,,1,,,,,,GB,0.0,,0
160100,,,276,독일,935944034,821077871.0,312.0,120950.0,3.333532654368092e-05,11.200414419243623,18.438158081707357,9.535066243538887,-3.4794774658209424,1.5288863823863822e-06,18.438158081707357,14.169939633813948,10.69036202191126,1.0,56,3.0,0.0,,,,,,,,-114866163.0,,,2,,282.0,,,,DE,282.0,,0
160100,,,251,프랑스,479220213,251930115.0,,114.0,,5.734814036624545,17.697434405095276,2.925630345318818,-0.9825281543787997,,17.697434405095276,12.000530318599496,10.057580416765012,,39,,,,,,,,,,-227290098.0,,,3,,,,,,FR,0.0,,0
160100,,,124,캐나다,322381294,69780820.0,,91.0,,3.8579273574513944,28.72030719558163,0.8103552229682041,24.419749072670996,,28.72030719558163,22.95301113273461,9.90815658331222,3.0,26,0.0,0.0,,,,,,,,-252600474.0,,,4,,171707.0,,,,CA,171707.0,,0
160100,,,528,네덜란드,268210019,261484963.0,,624130.0,,3.2096613206182436,7.596715935523411,3.0365895025982437,17.743685210766493,,7.596715935523411,5.115249657149708,10.925938052081284,,37,,,,,,,,,,-6725056.0,,,5,,,,,,NL,,,0
160100,,,56,벨기에,314960148,183696589.0,,1122.0,,3.7691187239795,13.72913405289268,2.1332436382603923,-1.9642544147311278,,13.72913405289268,10.125329536757645,8.524114697587624,,33,,,,,,,,,,-131263559.0,,,6,,,,,,BE,0.0,,0
160100,,,842,미국,238712899,758565903.0,,32720121.0,,2.856670162843355,140.1758702697808,8.809123215543211,10.072295413237995,,140.1758702697808,72.75266625807791,35.95176762879317,6.0,30,2.0,0.0,,,,,,,,519853004.0,,,7,,1105982.0,,,,US,1105982.0,,0
160100,,,208,덴마크,146335533,184314853.0,,966334.0,,1.751192971289244,14.454474816173104,2.14042345445592,3.56518030393959,,14.454474816173104,10.207153326671369,6.308175610368329,,36,,,,,,,,,,37979320.0,,,8,,,,,,DK,0.0,,0
160100,,,484,멕시코,235425634,23585825.0,,,,2.81733156035393,11.297997217730117,0.27389899512164,17.04495570014553,,11.297997217730117,18.225481278539018,9.721351492095572,2.0,11,2.0,0.0,,,,,,,,-211839809.0,,,9,,6611.0,,,,MX,6611.0,,0
160100,,,703,슬로바키아,133105864,109677301.0,,,,1.5928739158259122,2.74371526396515,1.2736676597724965,23.802623194712297,,2.74371526396515,-2.281503371350503,4.345842772457432,,48,,,,,,,,,,-23428563.0,,,10,,,,,,SK,,,0
160100,,,348,헝가리,185088431,133553289.0,,,,2.2149477491167793,17.723791045794925,1.5509362785609568,1.1601330999756692,,17.723791045794925,8.264244214467306,8.657067382086327,,31,,,,,,,,,,-51535142.0,,,11,,,,,,HU,,,0
160100,,,392,일본,185731441,893424.0,,135.0,,2.222642630663209,23.44142929404492,0.010375212052898557,5.072733922856998,,23.44142929404492,7.673577546677295,3.003473965953176,4.0,28,0.0,0.0,,,,,,,,-184838017.0,,,12,,1493362.0,,,,JP,1493362.0,,0
160100,,,724,스페인,138262532,642589730.0,,1283083.0,,1.6545836084189762,29.203057782098465,7.462307607322872,4.8261550415585335,,29.203057782098465,15.102617821951647,3.817706914473038,,36,,,,,,,,,,504327198.0,,,13,,,,,,ES,0.0,,0
160100,,,398,카자흐스탄,122212242,592952.0,,,,1.4625102653358986,11.65612153437602,0.006885871363641793,59.81413701465665,,11.65612153437602,24.39331599852821,15.345600036627431,1.0,13,0.0,0.0,,,,,,,,-121619290.0,,,14,,7582.0,,,,KZ,7582.0,,0
160100,,,752,스웨덴,133199356,25096093.0,,352770.0,,1.5939927318093943,24.55847314512881,0.2914375331021588,-17.55124355530625,,24.55847314512881,15.85211163056423,6.3737871236322325,,35,,,,,,,,,,-108103263.0,,,15,,,,,,SE,0.0,,0
160100,,,642,루마니아,110123998,92662489.0,,,,1.317850608900784,21.940498076295704,1.076076949717469,3.756787231517209,,21.940498076295704,22.57356529818694,18.905903299601405,,33,,,,,,,,,,-17461509.0,,,16,,,,,,RO,,,0
160100,,,203,체코,103002428,99462867.0,34.0,,3.300893062443149e-05,1.2326269925112885,4.378205817417637,1.1550488195014306,3.352941493093768,1.6299948194929355e-06,4.378205817417637,4.015529381872305,5.71698864109287,,57,,,,,,,,,,-3539561.0,,,17,,34.0,,,,CZ,,,0
160100,,,40,오스트리아,115253549,395344535.0,,34355.0,,1.3792357931613266,26.96467823630132,4.591082604205367,11.520198894644802,,26.96467823630132,10.739060823248314,6.861265699448175,1.0,29,0.0,0.0,,,,,,,,280090986.0,,,18,,57564.0,,,,AT,57564.0,,0
160100,,,620,포르투갈,64062175,48699937.0,,,,0.7666301429708225,19.990044872992527,0.565545780433255,3.667962454012449,,19.990044872992527,19.919900027860734,11.820216784948682,,27,,,,,,,,,,-15362238.0,,,19,,,,,,PT,,,0
