nation_name,industry_code,hscode,rnum,trgtpsnNo,trgtpsnCd,trgtpsnDtlCd,trgtpsnNm,rprsnt1Nm,rprsnt2Nm,biztyp1Cd,biztyp1CdNm,trgtpsn1EmpCnt,trgtpsnTelno,trgtpsn1Addr,trgtpsn2Addr,fundDd,prod1Nm,hmpgAddr,usdAlAstAmt,evalDd,evalGrd,evalValidDd,grdResnCdNm,insuUseYn,usdSaleAmt,extrnlCstYn,packAbrdEntprYn,grdResnCd,korNm,compscale,nation_name,industry_code,hscode,impYn,koreaCuYn
일본,01121,070910,18,6003332306,140,124961,SHINSEI BUSSAN K.K.,KENTARO MASUDA,,01121,채소작물 재배업,34,81-786529177,"SHINSEI HYOGO BLDG.1F./1-4-23, HOMMACHI, HYOGO-KU/KOBE/HYOGO//Japan/652-0834",,19590630,Vegetable/melon farm,http://shinsei-bussan.com/,,,,,,N,11842312.0,N,N,,일본,D,일본,01121,070910,Y,N
일본,01121,070910,15,6004060460,140,140086,"UNIVERSAL ENGEISHA CO.,LTD.",TSUYOSHI ABE,,01121,채소작물 재배업,534,81-726492266,"/193-2, SAHO/IBARAKI/OSAKA//Japan/568-0095",,19680630,Vegetable/melon farm,https://www.uni-green.co.jp/,,,,,,N,84647668.42,N,N,,일본,D,일본,01121,070910,N,N
일본,01121,070910,19,6003139793,140,115514,"YANAGI CO.,LTD.",TATSUHIKO YANAGI,,01121,채소작물 재배업,50,81-569362911,"/3-60, SHINKAICHO/TOKONAME/AICHI//Japan/479-0837",,19490630,Vegetable/melon farm,www.yanagi.jp,,,,,,N,38544000.0,N,N,,일본,D,일본,01121,070910,N,Y
일본,01121,070910,22,6003151670,140,116486,"AGURI GENKI OKAYAMA, Y.K.",NAOAKI WAKIMOTO,,01121,채소작물 재배업,30,81-866946755,"/411-1, NISHIGOORI/SOJA/OKAYAMA//Japan/719-1164",,20030630,Vegetable/melon farm,www.noumaru.jp,,,,,,N,,N,N,,일본,D,일본,01121,070910,N,Y
일본,01121,070910,23,6001693455,140,107966,DREAM JAPAN K K,YOICHI TAKENOUE, ,01121,채소작물 재배업,4,0995752616,"567, NAKATSUGAWA, YUSUICHO, AIRA-GUN, KAGOSHIMA 899-6102 JAPAN",,20100415,Vegetable farming, ,,20191118,F,20201117,,N,1898063.0,N,N,,일본,D,일본,01121,070910,N,Y
일본,01121,070910,24,6003098464,140,112369,EDO SHOKUHIN K.K.,AKITERU NOGUCHI,,01121,채소작물 재배업,4,81-356640170,"/2-17-7, KITASHINOZAKI/EDOGAWA-KU/TOKYO//Japan/133-0053",,20200630,Vegetable/melon farm,,,,,,,N,91949.0,N,N,,일본,D,일본,01121,070910,N,Y
일본,01121,070910,25,6001432045,140,107388,GREEN FARM JAPAN CO LTD,MANJU NISHIHARA,SEIICHI NISHIHARA,01121,채소작물 재배업,6,0926727002,"3-33-38-801, MATSUZAKI, HIGASHI-KU, FUKUOKA, FUKUOKA 813-0035 JAPAN",,20150626,Vegetable farmer,https://www.green-farm-japan.com/,,20190122,G,20200121,,N,,N,N,,일본,D,일본,01121,070910,,
일본,01121,070910,27,6003089347,140,111821,"HIROMASA, K.K.",HIROKAZU MATSUMOTO,,01121,채소작물 재배업,6,,"/5-41, HIGASHIASAHIGAOKA/IKOMA/NARA//Japan/630-0254",,20210630,Vegetable/melon farm,,,,,,,N,316017.0,N,N,,일본,D,일본,01121,070910,N,Y
일본,01121,070910,28,6003145845,140,116034,"IIYAMA, Y.K.",MASAHIRO SHIMOTORI,,01121,채소작물 재배업,29,81-269811345,"/373-1, NOSAKADA/IIYAMA/NAGANO//Japan/389-2233",,19990630,Vegetable/melon farm,,,,,,,N,,N,N,,일본,D,일본,01121,070910,N,Y
일본,01121,070910,21,6003230456,140,122730,"KIA, K.K.",AKIKO IDE,,01121,채소작물 재배업,6,81-985863558,"/5057, TANOCHOOTSU/MIYAZAKI/MIYAZAKI//Japan/889-1702",,20120630,Vegetable/melon farm,,,,,,,N,,N,N,,일본,D,일본,01121,070910,N,Y
일본,01121,070910,26,6003145707,140,116015,"SAITO, Y.K.",OSAMU SAITO,,01121,채소작물 재배업,2,81-136423373,"/330-322, KAWANISHI, KYOGOKUCHO/ABUTA-GUN/HOKKAIDO//Japan/044-0131",,19840630,Vegetable/melon farm,,,,,,,N,867240.0,N,N,,일본,D,일본,01121,070910,N,Y
