nation_name,industry_code,hscode,rnum,trgtpsnNo,trgtpsnCd,trgtpsnDtlCd,trgtpsnNm,rprsnt1Nm,biztyp1Cd,biztyp1CdNm,trgtpsn1EmpCnt,trgtpsnTelno,trgtpsn1Addr,fundDd,prod1Nm,hmpgAddr,insuUseYn,impYn,koreaCuYn,extrnlCstYn,packAbrdEntprYn,korNm,compscale,nation_name,industry_code,hscode,usdSaleAmt,trgtpsnFaxNo,evalDd,evalGrd,evalValidDd
미국,13225,630533,17,6004090510,450,323279,Victory Authority Corp,Pamela Wu,13225,직물포대 제조업,3,1-5628215761,/7141 Paramount Blvd/Pico Rivera/California/Los Angeles/United States/90660-3769,20140630,Mfg textile bags,www.victoryauthority.com,N,Y,N,N,N,미국,D,미국,13225,630533,,,,,
미국,13225,630533,24,6003516045,450,225322,"Acadia Industries, Inc.",Danny E Rogers Junior,13225,직물포대 제조업,105,1-3377838182,/1 N Avenue E/Crowley/Louisiana/Acadia/United States/70526-5061,19690630,Mfg textile bags,www.acadiaindustries.com,N,Y,N,N,N,미국,D,미국,13225,630533,,,,,
미국,13225,630533,22,6003488008,450,220324,American Discovery Textile Manufacturing LLC,Christine Sanders,13225,직물포대 제조업,20,1-6603382273,/302 Hawthorn Dr/Glasgow/Missouri/Howard/United States/65254-1275,20080630,Mfg textile bags,www.ip-72-14-184-76.cloudezapp.io,N,Y,N,N,N,미국,D,미국,13225,630533,,,,,
미국,13225,630533,23,6003738133,450,264434,"Bags and Wraps Etc., Inc.",Fanny M Yeung,13225,직물포대 제조업,2,1-8082222965,/2338 Halehaka St/Honolulu/Hawaii/Honolulu/United States/96821-1025,20040630,Mfg textile bags,www.bestbuydesign.biz,N,Y,N,N,N,미국,D,미국,13225,630533,,,,,
미국,13225,630533,26,6003512534,450,224817,Creative Enterprises Inc,PAM FINN,13225,직물포대 제조업,5,1-4029658177,/3009 S 87TH St/Omaha/Nebraska/Douglas/United States/68124-3042,19900630,Mfg textile bags,,N,Y,N,N,N,미국,D,미국,13225,630533,,,,,
미국,13225,630533,27,6003886270,450,290166,IKON Ecofriendly Products Corp,SHRIKANT LAKHIA,13225,직물포대 제조업,2,1-8322760796,/42 N Veilwood Cir/The Woodlands/Texas/Montgomery/United States/77382-4505,20100630,Mfg textile bags,,N,Y,N,N,N,미국,D,미국,13225,630533,,,,,
미국,13225,630533,25,6003644072,450,248152,"Kush Oasis Enterprises, LLC",Jyoti Jaiswal,13225,직물포대 제조업,5,1-5165131316,/228 Martin Dr/Syosset/New York/Nassau/United States/11791-5406,20070630,Mfg textile bags,www.omyogasupplies.en.ecplaza.net,N,Y,N,N,N,미국,D,미국,13225,630533,218666.0,,,,
미국,13225,630533,29,6003628128,450,245310,Premiumbag LLC,Richard Schwartz,13225,직물포대 제조업,10,1-7186584500,/14550 Liberty Ave/Jamaica/New York/Queens/United States/11435-4828,20000630,Mfg textile bags,www.premiumbag.com,N,Y,N,N,N,미국,D,미국,13225,630533,,,,,
미국,13225,630533,21,6002918078,450,130959,"Tacprogear, LLC",Dan T Lounsbury,13225,직물포대 제조업,2,1-5612654066,/2108 Corporate Dr/Boynton Beach/Florida/Palm Beach/United States/33426-6644,20060630,Mfg textile bags,www.tacprogear.com,N,Y,N,N,N,미국,D,미국,13225,630533,742235.0,,,,
미국,13225,630533,30,6002972365,450,139666,"Vanguard Manufacturing, Inc",David S Miller,13225,직물포대 제조업,9,1-3029949302,/11 Lewis Cir/Wilmington/Delaware/New Castle/United States/19804-1618,19870630,Mfg textile bags,www.washpro200.com,N,Y,N,N,N,미국,D,미국,13225,630533,,,,,
